epoch,loss,auc_roc,auc_pr,acc,val_loss,val_auc_roc,val_auc_pr,val_acc
1,0.6973392273906216,0.48515081206496524,0.478630693184762,0.5087108013937283,0.692970628107051,0.5521076146076146,0.5619734622651211,0.5017421602787456
2,0.6941498768592684,0.5275724383532078,0.518719428690974,0.5168408826945412,0.6989382368346956,0.5151029526029527,0.5114049283645463,0.5017421602787456
3,0.6976581732985865,0.5164571305239303,0.499356799280149,0.5098722415795587,0.6921352625723916,0.5972465034965034,0.5810588348662897,0.519163763066202
4,0.71005417162533,0.47130523930286516,0.4793898720859553,0.45993031358885017,0.6822313714110477,0.5898892773892774,0.5534844121167347,0.5505226480836237
5,0.6880200327342673,0.5648033238007877,0.5469302388996762,0.5412311265969802,0.6983777222317685,0.5817793317793318,0.5546390509720565,0.5818815331010453
6,0.682682854788644,0.5555441644633897,0.5383519302785504,0.5307781649245064,0.7182397410429313,0.5460858585858586,0.5136721321335673,0.554006968641115
7,0.6785117203627176,0.5863001133113905,0.5844498816705508,0.5423925667828107,0.6926036927758193,0.5742035742035742,0.5571229788378997,0.5331010452961672
8,0.6691933830163759,0.6014784438569039,0.5963715249162076,0.5632984901277585,0.8235094289746434,0.5224116161616161,0.5079017895473135,0.5261324041811847
9,0.632079515446077,0.6704796848864187,0.6558958746721241,0.610917537746806,0.8151467286751245,0.5582264957264956,0.536421221272176,0.5226480836236934
