epoch,loss,auc_roc,auc_pr,acc,val_loss,val_auc_roc,val_auc_pr,val_acc
1,0.6590206398781169,0.6910753790535802,0.7102806323938335,0.629500580720093,0.6422749629004076,0.7300407925407925,0.7212584037305299,0.6445993031358885
2,0.6093457141127459,0.7658716883397184,0.7543965916692722,0.7061556329849012,0.619473354326308,0.7303807303807303,0.7252645501746378,0.6724738675958188
3,0.5786066088526922,0.7949603410133276,0.7880031327506596,0.710801393728223,0.6117291932322007,0.7336344211344211,0.7313784856540297,0.662020905923345
4,0.5561893177364762,0.8102303998273349,0.7981336947274171,0.718931475029036,0.6033484495475318,0.7407245532245532,0.7443344203603681,0.6689895470383276
5,0.5406602467394042,0.8172233313548805,0.7978259123853875,0.7328687572590011,0.6021842424877845,0.7487373737373737,0.7539695408790877,0.6759581881533101
6,0.5320113289508531,0.8213780823396104,0.8118624558093338,0.7363530778164924,0.5988422885589068,0.746552059052059,0.7514310817576967,0.6689895470383276
7,0.520096573957029,0.8287433227216318,0.8171180756538746,0.7317073170731707,0.6079277709801438,0.7494658119658121,0.7542530628862307,0.6689895470383276
8,0.5193426672728358,0.827200129498732,0.8182528140607661,0.7468060394889663,0.5964257708825301,0.7551961926961926,0.7587458789429058,0.6794425087108014
9,0.5103483222225955,0.8325257648518858,0.814934577404556,0.7398373983739838,0.5918448345171035,0.7586926961926961,0.7616222274853889,0.6829268292682927
10,0.5018823980315914,0.8394161765499378,0.8224569817389322,0.7653890824622532,0.596679807124653,0.7613636363636362,0.7631641825977492,0.6933797909407665
11,0.5005975927071565,0.8381805428155182,0.8206378770623904,0.7479674796747967,0.5972825027093654,0.7621406371406371,0.7639918695447607,0.6898954703832753
12,0.49705198777538834,0.8411266389683267,0.8271718148493433,0.7560975609756098,0.598638092599264,0.7650058275058276,0.7665907781227554,0.6968641114982579
13,0.4849794467567151,0.8488480008633248,0.8430310747700085,0.759581881533101,0.5794387578133506,0.7689393939393938,0.7644394533813413,0.6829268292682927
14,0.4814118253506296,0.8529541898235582,0.8414355894790568,0.7665505226480837,0.5777785238073263,0.7710275835275835,0.7665210318602138,0.6829268292682927
15,0.4795053816561638,0.8547132142664435,0.8417099806755002,0.7572590011614402,0.5843992299734507,0.7721445221445222,0.7708350827786788,0.7073170731707317
16,0.4742055254946187,0.8604489289375707,0.8451171109565896,0.7816492450638792,0.5768403508521954,0.7736013986013985,0.7680269285285317,0.7038327526132404
17,0.4753536352850973,0.8568499433443049,0.8489964265278116,0.7770034843205574,0.581610822511467,0.7755439005439005,0.7737652974125465,0.7038327526132404
18,0.46908280796844093,0.8619219770139751,0.8498907644308566,0.7851335656213705,0.6130642110047024,0.7742812742812741,0.7743271369444286,0.6759581881533101
19,0.47054144452811675,0.8589057357146712,0.8488605612605616,0.7793263646922184,0.5867272619586373,0.7784090909090908,0.7763590891109116,0.7073170731707317
20,0.46264176030884496,0.8642475584093239,0.853741441294978,0.7828106852497096,0.5799296010246675,0.7793803418803419,0.7768289575982559,0.7038327526132404
21,0.4647614083639005,0.8641234554578319,0.8487254971600351,0.7851335656213705,0.5722580720323304,0.7820027195027195,0.7779829083837295,0.686411149825784
22,0.45393317861701,0.8705282469109157,0.8538849725592026,0.7793263646922184,0.584339251501635,0.7832653457653458,0.7796678292413664,0.7177700348432056
23,0.45220657618895915,0.8730912426482491,0.8589776269914466,0.8002322880371661,0.5731167211765196,0.7850135975135976,0.7806043830255889,0.710801393728223
24,0.4503390647808434,0.8752387632871094,0.8557798718764901,0.794425087108014,0.570174333525867,0.7869075369075369,0.7806872618136693,0.710801393728223
25,0.4497614028700276,0.87261641396428,0.8579034237329397,0.7897793263646922,0.5743290273154654,0.7878302253302253,0.7860672368487919,0.7142857142857143
26,0.4462866389931425,0.8758592780445691,0.8626453481140827,0.8025551684088269,0.5699810333783618,0.7898212898212899,0.7846208075612724,0.7003484320557491
27,0.4396147545206422,0.879506825662332,0.8673066528268543,0.8083623693379791,0.572641498951131,0.7896756021756022,0.7842505670836847,0.6933797909407665
