epoch,loss,auc_roc,auc_pr,acc,val_loss,val_auc_roc,val_auc_pr,val_acc
1,0.7009895249387805,0.5158959693519668,0.4979661929069499,0.5075493612078978,0.6998483079651091,0.4521173271173271,0.46503437264888425,0.5017421602787456
2,0.6997233157096978,0.5090595154589111,0.5009971456618021,0.5040650406504065,0.6943133085031543,0.5364219114219113,0.5245726014301697,0.49825783972125437
3,0.6978512629953134,0.5195489127502293,0.5118669455187695,0.5110336817653891,0.6936187411849922,0.5637140637140636,0.5552544619933573,0.5121951219512195
4,0.7027576437672117,0.5223816975125453,0.5176164179790597,0.5121951219512195,0.7151579973174305,0.4859168609168609,0.4797828688907734,0.5017421602787456
5,0.6967701707013669,0.501553984783899,0.49258018699140654,0.4959349593495935,0.6953588545530099,0.5686188811188811,0.5496704928520705,0.519163763066202
6,0.6819792336564723,0.5741326282846814,0.5560592562316065,0.5493612078977933,0.8000300071796058,0.49927156177156173,0.4875528069790497,0.5017421602787456
7,0.677681618312787,0.5982625586791129,0.5744318165356619,0.5667828106852497,0.6993600267151091,0.5383158508158509,0.5200089259947599,0.5331010452961672
8,0.6735582008317511,0.5923595748124967,0.5844988347142249,0.5644599303135889,0.8315032733026697,0.46445221445221446,0.4617534145037455,0.5121951219512195
9,0.6631308853557024,0.6263934603140344,0.6252071990808656,0.578397212543554,0.7062750028816249,0.561868686868687,0.5441512548897416,0.5400696864111498
10,0.6488388185578633,0.6575675821507581,0.651325786018365,0.5958188153310104,0.7471149923078689,0.5402097902097902,0.5208406580270427,0.5121951219512195
11,0.6356324673252792,0.6695570064209788,0.6597332968396913,0.6132404181184669,0.7950943936869658,0.577724358974359,0.5749600103273111,0.5296167247386759
12,0.5830402651176497,0.7273997733772188,0.7206283736121979,0.670150987224158,0.802086155589034,0.5611888111888111,0.5598148280970082,0.5470383275261324
13,0.5727209751337385,0.7566449036853181,0.7529518703534004,0.6689895470383276,0.7947645752272124,0.5018939393939394,0.5083136796969604,0.5017421602787456
14,0.5570901810915213,0.769940106836454,0.7740569130932256,0.6875725900116144,1.033182649246907,0.5220231157731158,0.5154914493691604,0.5226480836236934
15,0.5329918412796711,0.7977283764096476,0.803551691731397,0.6945412311265969,0.8870831333386358,0.4779526029526029,0.497455529794159,0.4912891986062718
16,0.48490786580120093,0.8310041547509848,0.836761500644934,0.7282229965156795,1.1165945804077573,0.5256410256410257,0.5193449611797208,0.5156794425087108
17,0.4686396152438741,0.8485134624723466,0.8543649237345556,0.7491289198606271,1.1090427292348617,0.5034479409479409,0.49928301936222713,0.4843205574912892
