epoch,loss,auc_roc,auc_pr,acc,val_loss,val_auc_roc,val_auc_pr,val_acc
1,0.699744981063506,0.5353315707117035,0.5247624426028694,0.519163763066202,0.6896180010008064,0.6832750582750583,0.6986852540407893,0.49825783972125437
2,0.6864518177772372,0.5960233097717584,0.5806602803139905,0.5888501742160279,0.6787004836344969,0.7142579642579643,0.7321884801891683,0.6445993031358885
3,0.6692322964729194,0.6835644525980684,0.7049022080480636,0.6074332171893148,0.6569742475237165,0.7096930846930847,0.7287437294033096,0.6341463414634146
4,0.6285721383443693,0.7411913883343226,0.7397087832505251,0.670150987224158,0.6223752091570598,0.7313034188034188,0.7414270363898589,0.6550522648083623
5,0.584159334915994,0.7793773269303406,0.7642900622533033,0.7131242740998839,0.599507527899659,0.7368395493395494,0.7440973396281763,0.6585365853658537
6,0.5536851240505879,0.7977337721901472,0.7980803684209847,0.7235772357723578,0.6131379728948613,0.7393162393162394,0.7455426105983896,0.6445993031358885
7,0.5550234780217436,0.7884206550477526,0.7795694085469089,0.6968641114982579,0.613357218300424,0.7279526029526029,0.7329869038800914,0.6550522648083623
8,0.5311034897063251,0.8113041601467652,0.8090654509360669,0.727061556329849,0.6158455273830932,0.7401903651903652,0.7238780389804078,0.6759581881533101
9,0.514593409052017,0.8282523066961636,0.8172437565709729,0.7572590011614402,0.6036970058800036,0.7443181818181818,0.7541901400411414,0.6794425087108014
10,0.5096926628227987,0.8294717530890843,0.8231386282081379,0.7456445993031359,0.7052571665534575,0.7417929292929293,0.7275929688823422,0.6933797909407665
11,0.4796333423751849,0.8536448497275131,0.8436355150460941,0.7746806039488966,0.6015911766876327,0.7534965034965034,0.7609999169504745,0.662020905923345
12,0.47297953562454065,0.8583931365672044,0.836290937070017,0.7770034843205574,0.61033444620591,0.7573815073815074,0.7419563738585063,0.6829268292682927
13,0.43099328615939575,0.8843954027950143,0.8689323579350683,0.8118466898954704,0.8827995871832978,0.679438616938617,0.6820384006639619,0.6480836236933798
14,0.42893868290173465,0.8874656018993147,0.8775942423488619,0.8222996515679443,0.7230235209448412,0.7322746697746699,0.7393534834056144,0.6550522648083623
15,0.37238903632701204,0.9153941617654995,0.9150845767845472,0.8385598141695703,0.7807279015251983,0.698038073038073,0.6751517543540164,0.6376306620209059
16,0.3619939009902369,0.9190686882857606,0.9087021268782276,0.8455284552845529,0.7382243751233463,0.7384421134421133,0.730070967519329,0.6794425087108014
17,0.3189177823260548,0.9380726272055252,0.9289283821550731,0.8710801393728222,1.0097225601249455,0.688908313908314,0.6611142266555503,0.6376306620209059
18,0.2907346895485943,0.9471914962499326,0.9443191700288966,0.8931475029036005,0.7657986750586108,0.7325660450660451,0.7185477761834715,0.6585365853658537
