epoch,loss,auc_roc,auc_pr,acc,val_loss,val_auc_roc,val_auc_pr,val_acc
1,0.7063160961651774,0.4840392812820375,0.475679310601487,0.4889663182346109,0.6999935057105088,0.48314879564879565,0.4714826908652674,0.5017421602787456
2,0.7002851129547367,0.4829978956456052,0.4804060012757496,0.4901277584204414,0.693490078224953,0.543730574980575,0.5150334320627031,0.5017421602787456
3,0.6925509250122496,0.5330545513408513,0.533144396941917,0.5110336817653891,0.6931013512694462,0.5307643745143746,0.5189777309672827,0.4912891986062718
4,0.6931657957283046,0.5392704904764474,0.5421284610144899,0.5249709639953543,0.7116906435232129,0.530448717948718,0.5135450387774891,0.5017421602787456
5,0.7049869931671816,0.49425349376787353,0.5095430374443457,0.4994192799070848,0.7110670136242379,0.5016996891996892,0.4963834845935938,0.49825783972125437
6,0.6880928775020869,0.5522635299196029,0.5404036887688559,0.5365853658536586,0.6851321762031795,0.6028069153069153,0.5675839549733367,0.5818815331010453
7,0.6828165929353472,0.5845842551125021,0.5611708981184312,0.5563298490127758,0.6888845224413722,0.5515734265734266,0.5424136729282923,0.5226480836236934
8,0.6765198790653242,0.5901041385636432,0.5612294135722626,0.5528455284552846,0.7520206796998347,0.5523018648018647,0.5296633123632627,0.5435540069686411
9,0.6566476611448636,0.6393622187449415,0.6223283764164032,0.5958188153310104,0.7825503997271069,0.5247668997668998,0.5045366748865907,0.5156794425087108
10,0.6752937108659024,0.6188960233097718,0.584504677759125,0.5911730545876888,0.7033533036501151,0.47562160062160064,0.48513442952741337,0.47735191637630664
11,0.629037761798996,0.6970377165056927,0.6709676588951113,0.6387921022067363,0.7505439399426822,0.6093628593628593,0.5958718621399293,0.5888501742160279
12,0.6011852259973754,0.7153240166190039,0.6858446878426767,0.6422764227642277,0.8462895715693564,0.4693084693084693,0.4818859535944651,0.5052264808362369
13,0.6041724152958213,0.7111854529757728,0.6886504377115069,0.645760743321719,0.7277380714017755,0.5403069153069153,0.5423694488102097,0.5052264808362369
14,0.5729493507801725,0.7596179787406249,0.7540430274445776,0.6689895470383276,0.7695995490310084,0.5573038073038074,0.5425540092558051,0.5331010452961672
15,0.542740838452914,0.7946743646468462,0.7828809816808657,0.7131242740998839,0.8630939443767693,0.5387529137529137,0.5107583880243466,0.5017421602787456
16,0.49921261391988614,0.8331516753898451,0.8412799624669739,0.7247386759581882,0.9574734624669943,0.5319055944055945,0.5132856675404955,0.5087108013937283
17,0.43547760124959733,0.8764528138995306,0.8772867702220589,0.7816492450638792,0.9228305284985266,0.5400641025641025,0.5202198844145053,0.5121951219512195
