epoch,loss,auc_roc,auc_pr,acc,val_loss,val_auc_roc,val_auc_pr,val_acc
1,0.6896172035031203,0.557276210003777,0.5338021489264799,0.5249709639953543,0.6793188965694414,0.7044240481740481,0.7156696830735017,0.554006968641115
2,0.6573072360367725,0.6819079479846761,0.6806303434889541,0.6202090592334495,0.6568113984961959,0.7238490675990675,0.7310383720363784,0.6097560975609756
3,0.6330954078736344,0.7506663788917067,0.7514162552737885,0.6759581881533101,0.6359231264333691,0.7290452602952604,0.7307369313113847,0.6515679442508711
4,0.6070882063986394,0.7741137430529327,0.7640558626077251,0.6933797909407665,0.6222688960696762,0.7325417637917637,0.7340070619869792,0.6445993031358885
5,0.5843865298227982,0.783278476231587,0.7810306485930811,0.7096399535423926,0.6130351289224126,0.7255973193473194,0.7345704727233726,0.6515679442508711
6,0.5706120899745396,0.7914476879080559,0.7834825809096652,0.7096399535423926,0.6131203415501824,0.7288995726495726,0.7368564081904762,0.6445993031358885
7,0.5588437079275665,0.7963308692602385,0.7799315554978008,0.7317073170731707,0.5986123965592335,0.7372037684537684,0.740896581018818,0.6724738675958188
8,0.5433659293233448,0.8101764420223385,0.8031612750753624,0.7200929152148664,0.6009567274033816,0.737155205905206,0.741758617298882,0.6655052264808362
9,0.5396963223624589,0.8085738952139427,0.7997761536472242,0.7235772357723578,0.5978981941834559,0.7396804584304584,0.7444771785895363,0.6759581881533101
10,0.5328580333519204,0.8151405600820159,0.7990955374582072,0.743321718931475,0.5934363375142061,0.7450709013209014,0.7491766616565136,0.686411149825784
11,0.53535707874719,0.8089138293854204,0.7969252345385478,0.7386759581881533,0.5958623985795609,0.7484702797202797,0.7524919139950794,0.6585365853658537
12,0.5294302697796439,0.814525441105056,0.8048690975725423,0.7409988385598142,0.5918523642244239,0.7454594017094017,0.752537552901285,0.7003484320557491
13,0.5228171775011512,0.8201910106296877,0.8130039250506903,0.7398373983739838,0.5915543127558373,0.7491501554001553,0.7553213849022885,0.6968641114982579
14,0.5136897001809221,0.8256353531538337,0.8197567550429623,0.7584204413472706,0.5931479989028559,0.7483731546231547,0.754244977131411,0.6829268292682927
15,0.5141826501152934,0.8273026493282253,0.8162338258083468,0.7502903600464577,0.5932321648149125,0.7494415306915307,0.755902655680275,0.6829268292682927
16,0.5129003148184144,0.8265202611557763,0.817065438839041,0.7549361207897793,0.5904630933489118,0.7529865967365967,0.7576319895196365,0.6968641114982579
17,0.5056151180732541,0.8330869260238494,0.8219909288207795,0.7560975609756098,0.603357235313708,0.7526466588966589,0.762194950853568,0.6794425087108014
18,0.5119287688003876,0.8294987319915826,0.814353374000361,0.7479674796747967,0.6166512658787106,0.7541035353535354,0.7629510104562844,0.6829268292682927
19,0.50956856885992,0.832585118437382,0.8151534363318262,0.7537746806039489,0.625527551365231,0.7538607226107226,0.7633814903136066,0.6829268292682927
20,0.5056426727259478,0.8335131926833217,0.8234813145793696,0.7619047619047619,0.5873948605633779,0.7568230380730381,0.76389916829139,0.6689895470383276
21,0.49865757768300906,0.8371499487400854,0.8327650407677453,0.7514518002322881,0.5903314430954565,0.7574057886557887,0.7671835635211746,0.6829268292682927
22,0.4924146395250203,0.8436626558031619,0.8336957827492035,0.7572590011614402,0.594386878329287,0.7577457264957265,0.7680175555086408,0.6794425087108014
23,0.4880892978451116,0.846954081907948,0.8389064404580407,0.7711962833914053,0.5867972855783921,0.7590083527583529,0.7678690837045026,0.6933797909407665
24,0.49149671304239767,0.8423730642637458,0.8368377814840794,0.7677119628339141,0.5847312349060271,0.7594939782439782,0.7685816976734233,0.686411149825784
25,0.49315675985799295,0.8407974963578482,0.8334835454889923,0.7665505226480837,0.583431589478815,0.7613879176379177,0.7706821026325608,0.686411149825784
26,0.4806167212651305,0.8505746506232127,0.8506252402574488,0.7723577235772358,0.5926264952284118,0.7624562937062938,0.7731010114381727,0.662020905923345
